"Index","en-US","cs-CZ","da-DK","de-DE","en-GB","es-ES","es-MX","et-EE","fi-FI","fr-CA","fr-FR","hr-HR","hu-HU","it-IT","lt-LT","lv-LV","nb-NO","nl-NL","pl-PL","pt-BR","pt-PT","ro-RO","sk-SK","sl-SI","sr-Latn-RS","sv-SE","tr-TR"
"476","Expirations Response","Vypršení odezvy","Svarudløb","Reaktionen verfallen","Expirations Response","Expiraciones de respuesta","Expiraciones de respuesta","Expirations Response","Vastauksen erääntymisiä","Expirations de réponse","Expirations de réponse","Expirations Response","Elkésett válaszok gyakorisága (válasz/s)","Risposte scadute","Expirations Response","Expirations Response","Forfallstid for respons","Reactievervaltijden","Wygaśnięcia odpowiedzi","Resposta de expirações","Expirações de resposta","Expirations Response","Expirations Response","Expirations Response","Expirations Response","Överskridna svarstider","Yanıt Süre Sonu"
"4760","Intra-RoutingDomain Hairpinned Packets","Pakety směrované zpět (hairpinned) v rámci směrovacích domén","","Intra-Routingdomänenpakete im Hairpin-Modus","Intra-RoutingDomain Hairpinned Packets","","","Intra-RoutingDomain Hairpinned Packets","","Paquets acheminés en épingle à cheveux intra domaine de routage","Paquets acheminés en épingle à cheveux intra domaine de routage","Intra-RoutingDomain Hairpinned Packets","Útválasztási tartományon belül visszafordított csomagok/s","Pacchetti con hairpinning all'interno del dominio di routing","Intra-RoutingDomain Hairpinned Packets","Intra-RoutingDomain Hairpinned Packets","","Teruggestuurde Intra-RoutingDomein-pakketten","Połączone pakiety wewnątrz domen routingu","Pacotes com Redirecionamento para a Origem Intra-RoutingDomain","Pacotes Intra-RoutingDomain Devolvidos à Origem","Intra-RoutingDomain Hairpinned Packets","Intra-RoutingDomain Hairpinned Packets","Intra-RoutingDomain Hairpinned Packets","Intra-RoutingDomain Hairpinned Packets","Intra-RoutingDomain-paket som routats tillbaka","Yönlendirme Etki Alanı İçinde Tam Geri Döndürülen Paket Sayısı"
"4762","WinNAT Instance","Instance WinNAT","","WinNAT-Instanz","WinNAT Instance","","","WinNAT Instance","","Instance WinNAT","Instance WinNAT","WinNAT Instance","WinNAT-példány","Istanza WinNAT","WinNAT Instance","WinNAT Instance","","WinNAT-instantie","Wystąpienie WinNAT","Instância de WinNAT","Instância WinNAT","WinNAT Instance","WinNAT Instance","WinNAT Instance","WinNAT Instance","WinNAT-instans","WinNAT Örneği"
"4764","TCP Ports In Use","Použité porty TCP","","Verwendete TCP-Ports","TCP Ports In Use","","","TCP Ports In Use","","Ports TCP en cours d’utilisation","Ports TCP en cours d’utilisation","TCP Ports In Use","Használatban lévő TCP-portok","Porte TCP in uso","TCP Ports In Use","TCP Ports In Use","","TCP-poorten in gebruik","Używane porty TCP","Portas TCP em Uso","Portas TCP em Utilização","TCP Ports In Use","TCP Ports In Use","TCP Ports In Use","TCP Ports In Use","TCP-portar används","Kullanımdaki TCP Bağlantı Noktası Sayısı"
"4766","TCP Ports Available","Dostupné porty TCP","","Verfügbare TCP-Ports","TCP Ports Available","","","TCP Ports Available","","Ports TCP disponibles","Ports TCP disponibles","TCP Ports Available","Rendelkezésre álló TCP-portok","Porte TCP disponibili","TCP Ports Available","TCP Ports Available","","TCP-poorten beschikbaar","Dostępne porty TCP","Portas TCP Disponíveis","Portas TCP Disponíveis","TCP Ports Available","TCP Ports Available","TCP Ports Available","TCP Ports Available","Tillgängliga TCP-portar","Kullanılabilir TCP Bağlantı Noktası Sayısı"
"4768","UDP Ports In Use","Použité porty UDP","","Verwendete UDP-Ports","UDP Ports In Use","","","UDP Ports In Use","","Ports UDP en cours d’utilisation","Ports UDP en cours d’utilisation","UDP Ports In Use","Használatban lévő UDP-portok","Porte UDP in uso","UDP Ports In Use","UDP Ports In Use","","UDP-poorten in gebruik","Używane porty UDP","Portas UDP em Uso","Portas UDP em Utilização","UDP Ports In Use","UDP Ports In Use","UDP Ports In Use","UDP Ports In Use","UDP-portar som används","Kullanımdaki UDP Bağlantı Noktası Sayısı"
"4770","UDP Ports Available","Dostupné porty UDP","","Verfügbare UDP-Ports","UDP Ports Available","","","UDP Ports Available","","Ports UDP disponibles","Ports UDP disponibles","UDP Ports Available","Rendelkezésre álló UDP-portok","Porte UDP disponibili","UDP Ports Available","UDP Ports Available","","UDP-poorten beschikbaar","Dostępne porty UDP","Portas UDP Disponíveis","Portas UDP Disponíveis","UDP Ports Available","UDP Ports Available","UDP Ports Available","UDP Ports Available","Tillgängliga UDP-portar","Kullanılabilir UDP Bağlantı Noktası Sayısı"
"4772","Windows Time Service","","","Windows-Zeitdienst","Windows Time Service","","","Windows Time Service","","Service de temps Windows","Service de temps Windows","Windows Time Service","","Servizio Ora di Windows","Windows Time Service","Windows Time Service","","","","Serviço de Tempo do Windows","","Windows Time Service","Windows Time Service","Windows Time Service","Windows Time Service","",
"4774","Computed Time Offset","","","Berechnete Zeitdifferenz","Computed Time Offset","","","Computed Time Offset","","Décalage de temps calculé","Décalage de temps calculé","Computed Time Offset","","Differenza orario calcolata","Computed Time Offset","Computed Time Offset","","","","Diferença de Tempo Calculada","","Computed Time Offset","Computed Time Offset","Computed Time Offset","Computed Time Offset","",
"4776","Clock Frequency Adjustment","","","Anpassung der Taktfrequenz","Clock Frequency Adjustment","","","Clock Frequency Adjustment","","Ajustement de fréquence d’horloge","Ajustement de fréquence d’horloge","Clock Frequency Adjustment","","Regolazione della frequenza di clock","Clock Frequency Adjustment","Clock Frequency Adjustment","","","","Ajuste de Frequência do Relógio","","Clock Frequency Adjustment","Clock Frequency Adjustment","Clock Frequency Adjustment","Clock Frequency Adjustment","",
"4778","Clock Frequency Adjustment (PPB)","","","Anpassung der Taktfrequenz (PPB)","Clock Frequency Adjustment (PPB)","","","Clock Frequency Adjustment (PPB)","","Ajustement de la fréquence d’horloge (PPB)","Ajustement de la fréquence d’horloge (PPB)","Clock Frequency Adjustment (PPB)","","Regolazione della frequenza di clock (PPB)","Clock Frequency Adjustment (PPB)","Clock Frequency Adjustment (PPB)","","","","Ajuste de Frequência do Relógio (PPB)","","Clock Frequency Adjustment (PPB)","Clock Frequency Adjustment (PPB)","Clock Frequency Adjustment (PPB)","Clock Frequency Adjustment (PPB)","",
"478","Expirations Ack","Vypršení potvrzení","Bekræftelsesudløb","Bestätigung verfallen","Expirations Ack","Expiraciones de confirmación","Expiraciones de confirmación","Expirations Ack","ACK-kuittauksen erääntymisiä","Expirations d’accusé de réception (Ack)","Expirations d’accusé de réception (Ack)","Expirations Ack","Elkésett nyugták gyakorisága (nyugta/s)","Ack scaduti","Expirations Ack","Expirations Ack","Forfallstid for bekreftelses (Ack)","Ontvangstbevestigingsvervaltijden","Wygaśnięcia potwierdzeń","Confirmação de expiração","Expirações de confirmação","Expirations Ack","Expirations Ack","Expirations Ack","Expirations Ack","Överskridna kvittenstider","Bildirim Süre Sonu"
"4780","NTP Roundtrip Delay","","","NTP-Roundtripverzögerung","NTP Roundtrip Delay","","","NTP Roundtrip Delay","","Délai de l’aller-retour NTP","Délai de l’aller-retour NTP","NTP Roundtrip Delay","","Ritardo di andata e ritorno NTP","NTP Roundtrip Delay","NTP Roundtrip Delay","","","","Atraso de Ida e Volta NTP","","NTP Roundtrip Delay","NTP Roundtrip Delay","NTP Roundtrip Delay","NTP Roundtrip Delay","",
"4782","NTP Client Time Source Count","","","Anzahl von Zeitquellen des NTP-Clients","NTP Client Time Source Count","","","NTP Client Time Source Count","","Nombre de sources de temps du client NTP","Nombre de sources de temps du client NTP","NTP Client Time Source Count","","Conteggio delle origini ora del client NTP","NTP Client Time Source Count","NTP Client Time Source Count","","","","Contagem de Fontes de Tempo de Cliente NTP","","NTP Client Time Source Count","NTP Client Time Source Count","NTP Client Time Source Count","NTP Client Time Source Count","",
"4784","NTP Server Incoming Requests","","","Eingehende Anforderungen des NTP-Servers","NTP Server Incoming Requests","","","NTP Server Incoming Requests","","Requêtes entrantes du serveur NTP","Requêtes entrantes du serveur NTP","NTP Server Incoming Requests","","Richieste in ingresso del server NTP","NTP Server Incoming Requests","NTP Server Incoming Requests","","","","Solicitações de Entrada do Servidor NTP","","NTP Server Incoming Requests","NTP Server Incoming Requests","NTP Server Incoming Requests","NTP Server Incoming Requests","",
"4786","NTP Server Outgoing Responses","","","Ausgehende Antworten des NTP-Servers","NTP Server Outgoing Responses","","","NTP Server Outgoing Responses","","Réponses sortantes du serveur NTP","Réponses sortantes du serveur NTP","NTP Server Outgoing Responses","","Richieste in uscita del server NTP","NTP Server Outgoing Responses","NTP Server Outgoing Responses","","","","Respostas de Saída do Servidor NTP","","NTP Server Outgoing Responses","NTP Server Outgoing Responses","NTP Server Outgoing Responses","NTP Server Outgoing Responses","",
"4788","TCPIP Performance Diagnostics","Diagnostika výkonu TCPIP","Diagnosticering af TCPIP-ydeevne","TCP/IP-Leistungsdiagnose","TCPIP Performance Diagnostics","","","TCPIP Performance Diagnostics","TCPIP-suorituskykydiagnostiikka","Diagnostics de performances TCPIP","Diagnostics de performances TCPIP","TCPIP Performance Diagnostics","TCPIP Teljesítménydiagnosztika","Diagnostica prestazioni TCPIP","TCPIP Performance Diagnostics","TCPIP Performance Diagnostics","Ytelsesdiagnostikk for TCPIP","TCPIP-prestatiecontrole","Diagnostyka wydajności protokołu TCPIP","Diagnóstico de Desempenho TCPIP","Diagnósticos de Desempenho TCPIP","TCPIP Performance Diagnostics","TCPIP Performance Diagnostics","TCPIP Performance Diagnostics","TCPIP Performance Diagnostics","TCPIP-prestandadiagnostik","TCPIP Performans Tanılama"
"4790","IPv4 NBLs indicated with low-resource flag","Seznamy NBL IPv4 – označeno příznakem nízkého stavu prostředků","IPv4 NBL'er angivet med flag for lav ressource","IPv4-NBLs mit Kennzeichen für geringe Ressourcen","IPv4 NBLs indicated with low-resource flag","","","IPv4 NBLs indicated with low-resource flag","IPv4: vähäisten resurssien merkinnällä varustetut NBL:t","NBL IPv4 signalés avec indicateur de faibles ressources","NBL IPv4 signalés avec indicateur de faibles ressources","IPv4 NBLs indicated with low-resource flag","Alacsony erőforrás-igényűségi jelzővel megjelölt IPv4-es hálózatipuffer-listák","NBL IPv4 contrassegnati come risorse insufficienti","IPv4 NBLs indicated with low-resource flag","IPv4 NBLs indicated with low-resource flag","IPv4 NBLer angitt med flagg for lite ressurser","IPv4-NBL's aangegeven met vlag voor weinig bronnen","Wskazane obiekty NBL IPv4 z flagą niskiego stanu zasobów","NBLs de IPv4 indicados com sinalizador de recursos baixos","NBLs IPv4 indicados com sinalizador de poucos recursos","IPv4 NBLs indicated with low-resource flag","IPv4 NBLs indicated with low-resource flag","IPv4 NBLs indicated with low-resource flag","IPv4 NBLs indicated with low-resource flag","IPv4-NBL:er som har rapporterats med flaggan low-resource","Düşük kaynak bayraklarıyla gösterilen IPv4 NBL'ler"
"4792","IPv4 NBLs/sec indicated with low-resource flag","Seznamy NBL IPv4 za sekundu – označeno příznakem nízkého stavu prostředků","IPv4 NBL'er/sek. angivet med flag for lav ressource","IPv4-NBLs/s mit Kennzeichen für geringe Ressourcen","IPv4 NBLs/sec indicated with low-resource flag","","","IPv4 NBLs/sec indicated with low-resource flag","IPv4: vähäisten resurssien merkinnällä merkittyjen NBL-kohteiden määrä sekunnissa","NBL IPv4/s signalés avec indicateur de faibles ressources","NBL IPv4/s signalés avec indicateur de faibles ressources","IPv4 NBLs/sec indicated with low-resource flag","Alacsony erőforrás-igényűségi jelzővel megjelölt IPv4-es hálózatipuffer-listák száma másodpercenként","NBL al secondo IPv4 contrassegnati come risorse insufficienti","IPv4 NBLs/sec indicated with low-resource flag","IPv4 NBLs/sec indicated with low-resource flag","IPv4 NBLer/sek. angitt med flagg for lite ressurser","IPv4-NBL's per seconde aangegeven met vlag voor weinig bronnen","Wskazane obiekty NBL IPv4 na sekundę z flagą niskiego stanu zasobów","NBLs IPv4/s indicados com sinalizador de recursos baixos","NBLs IPv4/seg. indicados com sinalizador de poucos recursos","IPv4 NBLs/sec indicated with low-resource flag","IPv4 NBLs/sec indicated with low-resource flag","IPv4 NBLs/sec indicated with low-resource flag","IPv4 NBLs/sec indicated with low-resource flag","IPv4-NBL:er/sek som har rapporterats med flaggan low-resource","Düşük kaynak bayrağıyla gösterilen IPv4 NBL'leri/sn"
"4794","IPv6 NBLs indicated with low-resource flag","Seznamy NBL IPv6 – označeno příznakem nízkého stavu prostředků","IPv6 NBL'er angivet med flag for lav ressource","IPv6-NBLs mit Kennzeichen für geringe Ressourcen","IPv6 NBLs indicated with low-resource flag","","","IPv6 NBLs indicated with low-resource flag","IPv6: vähäisten resurssien merkinnällä varustetut NBL:t","NBL IPv6 signalés avec indicateur de faibles ressources","NBL IPv6 signalés avec indicateur de faibles ressources","IPv6 NBLs indicated with low-resource flag","Alacsony erőforrásszintűként megjelölt IPv6-alapú NBL-ek","NBL IPv6 contrassegnati come risorse insufficienti","IPv6 NBLs indicated with low-resource flag","IPv6 NBLs indicated with low-resource flag","IPv6 NBLer angitt med flagg for lite ressurser","IPv6-NBL's aangegeven met vlag voor weinig bronnen","Wskazane obiekty NBL IPv6 z flagą niskiego stanu zasobów","NBLs de IPv6 indicados com sinalizador de recursos baixos","NBLs IPv6 indicados com sinalizador de poucos recursos","IPv6 NBLs indicated with low-resource flag","IPv6 NBLs indicated with low-resource flag","IPv6 NBLs indicated with low-resource flag","IPv6 NBLs indicated with low-resource flag","IPv6-NBL:er som har rapporterats med flaggan low-resource","Düşük kaynak bayrağıyla gösterilen IPv6 NBL'leri"
"4796","IPv6 NBLs/sec indicated with low-resource flag","Seznamy NBL IPv6 za sekundu – označeno příznakem nízkého stavu prostředků","IPv6 NBL'er/sek. angivet med flag for lav ressource","IPv6-NBLs/s mit Kennzeichen für geringe Ressourcen","IPv6 NBLs/sec indicated with low-resource flag","","","IPv6 NBLs/sec indicated with low-resource flag","IPv6: vähäisten resurssien merkinnällä merkittyjen NBL-kohteiden määrä sekunnissa","NBL IPv6/s signalés avec indicateur de faibles ressources","NBL IPv6/s signalés avec indicateur de faibles ressources","IPv6 NBLs/sec indicated with low-resource flag","Alacsony erőforrás-igényűségi jelzővel megjelölt IPv6-alapú hálózatipuffer-listák száma másodpercenként","NBL al secondo IPv6 contrassegnati come risorse insufficienti","IPv6 NBLs/sec indicated with low-resource flag","IPv6 NBLs/sec indicated with low-resource flag","IPv6 NBLer/sek. angitt med flagg for lite ressurser","IPv6-NBL's per seconde aangegeven met vlag voor weinig bronnen","Wskazane obiekty NBL IPv6 na sekundę z flagą niskiego stanu zasobów","NBLs IPv6/s indicados com sinalizador de recursos baixos","NBLs IPv6/seg. indicados com sinalizador de poucos recursos","IPv6 NBLs/sec indicated with low-resource flag","IPv6 NBLs/sec indicated with low-resource flag","IPv6 NBLs/sec indicated with low-resource flag","IPv6 NBLs/sec indicated with low-resource flag","IPv6-NBL:er/sek som har rapporterats med flaggan low-resource","Düşük kaynak bayrağıyla gösterilen IPv6 NBL'leri/sn"
"4798","IPv4 NBLs indicated without prevalidation","Seznamy NBL IPv4 – označeno jako bez předběžného ověření","IPv4 NBL'er angivet uden forudgående validering","IPv4-NBLs ohne Vorabüberprüfung","IPv4 NBLs indicated without prevalidation","","","IPv4 NBLs indicated without prevalidation","IPv4: esivahvistamattomien NBL-kohteiden määrä","NBL IPv4 signalés sans validation préalable","NBL IPv4 signalés sans validation préalable","IPv4 NBLs indicated without prevalidation","Előzetesen nem ellenőrzöttként megjelölt IPv4-es hálózatipuffer-listák","NBL IPv4 indicati senza preconvalida","IPv4 NBLs indicated without prevalidation","IPv4 NBLs indicated without prevalidation","IPv4 NBLer angitt uten forhåndsvalidering","IPv4-NBL's zonder prevalidatie","Wskazane obiekty NBL IPv4 bez wstępnej weryfikacji","NBLs IPv4 indicados sem pré-validação","NBLs IPv4 indicados sem pré-validação","IPv4 NBLs indicated without prevalidation","IPv4 NBLs indicated without prevalidation","IPv4 NBLs indicated without prevalidation","IPv4 NBLs indicated without prevalidation","IPv4-NBL:er som har rapporterats utan förhandsverifiering","Ön doğrulamasız gösterilen IPv4 NBL'leri"
"48","Pages Output/sec","Výstup stránek/s","Skrevne sider pr. sekund","Geänderte Seiten/s","Pages Output/sec","Salida de páginas/s","Salida de páginas/s","Pages Output/sec","Sivutulostuksia/s","Pages en sortie/s","Pages en sortie/s","Pages Output/sec","Lemezre írt lapok száma (lap/s)","Output pagine/sec","Pages Output/sec","Pages Output/sec","Skrevne sider/sek","Pagina's uitvoer per seconde","Strony wychodzące/s","Saída de páginas/s","Páginas de saída/seg","Pages Output/sec","Pages Output/sec","Pages Output/sec","Pages Output/sec","Utdata - sidor/s","Çıkarılan Sayfa/sn"
"480","Window Send Maximum","Maximální odeslání (okno)","Maksimalt sendevindue","Maximales Sendefenster","Window Send Maximum","Ventana de envío máxima","Ventana de envío máxima","Window Send Maximum","Suurin lähetysikkuna","Fenêtre d’envoi maximale","Fenêtre d’envoi maximale","Window Send Maximum","Maximális küldési ablakméret (bájt)","Massima finestra di invio","Window Send Maximum","Window Send Maximum","Maksimalt sendevindu","Het te versturen maximum","Maksymalne okno wysyłania","Janela de transmissão máxima","Janela de transmissão máxima","Window Send Maximum","Window Send Maximum","Window Send Maximum","Window Send Maximum","Största fönster för utskick","En Çok Bildirimsiz Gönderme"
"4800","IPv4 NBLs/sec indicated without prevalidation","Seznamy NBL IPv4 za sekundu – označeno jako bez předběžného ověření","IPv4 NBL'er/sek. angivet uden forudgående validering","IPv4-NBLs/s ohne Vorabüberprüfung","IPv4 NBLs/sec indicated without prevalidation","","","IPv4 NBLs/sec indicated without prevalidation","IPv4: esivahvistamattomien NBL-kohteiden määrä sekunnissa","NBL IPv4/s signalés sans validation préalable","NBL IPv4/s signalés sans validation préalable","IPv4 NBLs/sec indicated without prevalidation","Előzetesen nem ellenőrzöttként megjelölt IPv4-alapú hálózatipuffer-listák száma másodpercenként","NBL al secondo IPv4 indicati senza preconvalida","IPv4 NBLs/sec indicated without prevalidation","IPv4 NBLs/sec indicated without prevalidation","IPv4 NBLer/sek. angitt uten forhåndsvalidering","IPv4-NBL's per seconde aangegeven zonder prevalidatie","Wskazane obiekty NBL IPv4 na sekundę bez wstępnej weryfikacji","NBLs IPv4/s indicados sem pré-validação","NBLs IPv4/seg. indicados sem pré-validação","IPv4 NBLs/sec indicated without prevalidation","IPv4 NBLs/sec indicated without prevalidation","IPv4 NBLs/sec indicated without prevalidation","IPv4 NBLs/sec indicated without prevalidation","IPv4-NBL:er/sek som har rapporterats utan förhandsverifiering","Ön doğrulamasız olarak gösterilen IPv4 NBL'leri/sn"
"4802","IPv6 NBLs indicated without prevalidation","Seznamy NBL IPv6 – označeno jako bez předběžného ověření","IPv6 NBL'er angivet uden forudgående validering","IPv6-NBLs ohne Vorabüberprüfung","IPv6 NBLs indicated without prevalidation","","","IPv6 NBLs indicated without prevalidation","IPv6: esivahvistamattomien NBL-kohteiden määrä","NBL IPv6 signalés sans validation préalable","NBL IPv6 signalés sans validation préalable","IPv6 NBLs indicated without prevalidation","Előzetesen nem ellenőrzöttként megjelölt IPv6-os hálózatipuffer-listák","NBL IPv6 indicati senza preconvalida","IPv6 NBLs indicated without prevalidation","IPv6 NBLs indicated without prevalidation","IPv6 NBLer angitt uten forhåndsvalidering","IPv6-NBL's zonder prevalidatie","Wskazane obiekty NBL IPv6 bez wstępnej weryfikacji","NBLs IPv6 indicados sem pré-validação","NBLs IPv6 indicados sem pré-validação","IPv6 NBLs indicated without prevalidation","IPv6 NBLs indicated without prevalidation","IPv6 NBLs indicated without prevalidation","IPv6 NBLs indicated without prevalidation","IPv6-NBL:er som har rapporterats utan förhandsverifiering","Ön doğrulamasız olarak gösterilen IPv6 NBL'leri"
"4804","IPv6 NBLs/sec indicated without prevalidation","Seznamy NBL IPv6 za sekundu – označeno jako bez předběžného ověření","IPv6 NBL'er/sek. angivet uden forudgående validering","IPv6-NBLs/s ohne Vorabüberprüfung","IPv6 NBLs/sec indicated without prevalidation","","","IPv6 NBLs/sec indicated without prevalidation","IPv6: esivahvistamattomien NBL-kohteiden määrä sekunnissa","NBL IPv6/s signalés sans validation préalable","NBL IPv6/s signalés sans validation préalable","IPv6 NBLs/sec indicated without prevalidation","Előzetesen nem ellenőrzöttként megjelölt IPv6-alapú hálózatipuffer-listák száma másodpercenként","NBL al secondo IPv6 indicati senza preconvalida","IPv6 NBLs/sec indicated without prevalidation","IPv6 NBLs/sec indicated without prevalidation","IPv6 NBLer/sek. angitt uten forhåndsvalidering","IPv6-NBL's per seconde aangegeven zonder prevalidatie","Wskazane obiekty NBL IPv6 na sekundę bez wstępnej weryfikacji","NBLs IPv6/s indicados sem pré-validação","NBLs IPv6/seg. indicados sem pré-validação","IPv6 NBLs/sec indicated without prevalidation","IPv6 NBLs/sec indicated without prevalidation","IPv6 NBLs/sec indicated without prevalidation","IPv6 NBLs/sec indicated without prevalidation","IPv6-NBL:er/sek som har rapporterats utan förhandsverifiering","Ön doğrulamasız olarak gösterilen IPv6 NBL'leri/sn"
"4806","IPv4 NBLs treated as non-prevalidated","Seznamy NBL IPv4 – považováno za předběžně neověřené","IPv4 NBL'er behandlet som NBL'er uden forudgående validering","Als ohne Vorabüberprüfung behandelte IPv4-NBLs","IPv4 NBLs treated as non-prevalidated","","","IPv4 NBLs treated as non-prevalidated","IPv4: esivahvistamattomana käsiteltävien NBL-kohteiden määrä","NBL IPv4 traités comme non validés au préalable","NBL IPv4 traités comme non validés au préalable","IPv4 NBLs treated as non-prevalidated","Nem ellenőrzöttként kezelt IPv4-alapú NBL-ek","NBL IPv4 considerati come non preconvalidati","IPv4 NBLs treated as non-prevalidated","IPv4 NBLs treated as non-prevalidated","IPv4 NBLer behandlet som ikke-forhåndsvalidert","IPv4-NBL's behandeld als niet-geprevalideerd","Obiekty NBL IPv4 traktowane jako obiekty bez wstępnej weryfikacji","NBLs IPv4 tratados como não pré-validados","NBLs IPv4 tratados como não pré-validados","IPv4 NBLs treated as non-prevalidated","IPv4 NBLs treated as non-prevalidated","IPv4 NBLs treated as non-prevalidated","IPv4 NBLs treated as non-prevalidated","IPv4-NBL:er som har behandlats som icke-förhandsverifierade","Ön doğrulamasız kabul edilen IPv4 NBL'leri"
"4808","IPv4 NBLs/sec treated as non-prevalidated","Seznamy NBL IPv4 za sekundu – považováno za předběžně neověřené","IPv4 NBL'er/sek. behandlet som NBL'er uden forudgående validering","Als ohne Vorabüberprüfung behandelte IPv4-NBLs/s","IPv4 NBLs/sec treated as non-prevalidated","","","IPv4 NBLs/sec treated as non-prevalidated","IPv4: esivahvistamattomana käsiteltävien NBL-kohteiden määrä sekunnissa","NBL IPv4/s traités comme non validés au préalable","NBL IPv4/s traités comme non validés au préalable","IPv4 NBLs/sec treated as non-prevalidated","A nem előellenőrzöttként kezelt IPv4-es hálózatipuffer-listák száma másodpercenként","NBL al secondo IPv4 considerati come non preconvalidati","IPv4 NBLs/sec treated as non-prevalidated","IPv4 NBLs/sec treated as non-prevalidated","IPv4 NBLer/sek. behandlet som ikke-forhåndsvalidert","IPv4-NBL's per seconde behandeld als niet-geprevalideerd","Obiekty NBL IPv4 na sekundę traktowane jako obiekty bez wstępnej weryfikacji","NBLs IPv4/s tratados como não pré-validados","NBLs IPv4/seg. tratados como não pré-validados","IPv4 NBLs/sec treated as non-prevalidated","IPv4 NBLs/sec treated as non-prevalidated","IPv4 NBLs/sec treated as non-prevalidated","IPv4 NBLs/sec treated as non-prevalidated","IPv4-NBL:er/sek som har behandlats som icke-förhandsverifierade","Ön doğrulamasız olarak kabul edilen IPv4 NBL'leri/sn"
"4810","IPv6 NBLs treated as non-prevalidated","Seznamy NBL IPv6 – považováno za předběžně neověřené","IPv6 NBL'er behandlet som NBL'er uden forudgående validering","Als ohne Vorabüberprüfung behandelte IPv6-NBLs","IPv6 NBLs treated as non-prevalidated","","","IPv6 NBLs treated as non-prevalidated","IPv6: esivahvistamattomana käsiteltävien NBL-kohteiden määrä","NBL IPv6 traités comme non validés au préalable","NBL IPv6 traités comme non validés au préalable","IPv6 NBLs treated as non-prevalidated","Nem ellenőrzöttként kezelt IPv6-alapú NBL-ek","NBL IPv6 considerati come non preconvalidati","IPv6 NBLs treated as non-prevalidated","IPv6 NBLs treated as non-prevalidated","IPv6 NBLer behandlet som ikke-forhåndsvalidert","IPv6-NBL's behandeld als niet-geprevalideerd","Obiekty NBL IPv6 traktowane jako obiekty bez wstępnej weryfikacji","NBLs IPv6 tratados como não pré-validados","NBLs IPv6 tratados como não pré-validados","IPv6 NBLs treated as non-prevalidated","IPv6 NBLs treated as non-prevalidated","IPv6 NBLs treated as non-prevalidated","IPv6 NBLs treated as non-prevalidated","IPv6-NBL:er som har behandlats som icke-förhandsverifierade","Ön doğrulamasız kabul edilen IPv6 NBL'leri"
"4812","IPv6 NBLs/sec treated as non-prevalidated","Seznamy NBL IPv6 za sekundu – považováno za předběžně neověřené","IPv6 NBL'er/sek. behandlet som NBL'er uden forudgående validering","Als ohne Vorabüberprüfung behandelte IPv6-NBLs/s","IPv6 NBLs/sec treated as non-prevalidated","","","IPv6 NBLs/sec treated as non-prevalidated","IPv6: esivahvistamattomana käsiteltävien NBL-kohteiden määrä sekunnissa","NBL IPv6/s traités comme non validés au préalable","NBL IPv6/s traités comme non validés au préalable","IPv6 NBLs/sec treated as non-prevalidated","A nem előellenőrzöttként kezelt IPv6-os hálózatipuffer-listák száma másodpercenként","NBL al secondo IPv6 considerati come non preconvalidati","IPv6 NBLs/sec treated as non-prevalidated","IPv6 NBLs/sec treated as non-prevalidated","IPv6 NBLer/sek. behandlet som ikke-forhåndsvalidert","IPv6-NBL's per seconde behandeld als niet-geprevalideerd","Obiekty NBL IPv6 na sekundę traktowane jako obiekty bez wstępnej weryfikacji","NBLs IPv6/s tratados como não pré-validados","NBLs IPv6/seg. tratados como não pré-validados","IPv6 NBLs/sec treated as non-prevalidated","IPv6 NBLs/sec treated as non-prevalidated","IPv6 NBLs/sec treated as non-prevalidated","IPv6 NBLs/sec treated as non-prevalidated","IPv6-NBL:er/sek som har behandlats som icke-förhandsverifierade","Ön doğrulamasız kabul edilen IPv6 NBL'leri/sn"
"4814","IPv4 outbound NBLs not processed via fast path","Odchozí seznamy NBL IPv4 – nezpracováno prostřednictvím rychlé cesty","Udgående IPv4 NBL'er, der ikke er behandlet via hurtig sti","Ausgehende IPv4-NBLs ohne Verarbeitung über den schnellen Pfad","IPv4 outbound NBLs not processed via fast path","","","IPv4 outbound NBLs not processed via fast path","IPv4: Niiden NBL-kohteiden määrä, joita ei käsitellä nopean polun kautta","NBL sortants IPv4 non traités via le chemin d’accès rapide","NBL sortants IPv4 non traités via le chemin d’accès rapide","IPv4 outbound NBLs not processed via fast path","Azon IPv4-alapú kimenő NBL-ek, amelyek nem a gyors útvonalon lettek feldolgozva","NBL in uscita IPv4 non elaborati tramite percorso rapido","IPv4 outbound NBLs not processed via fast path","IPv4 outbound NBLs not processed via fast path","IPv4 utgående NBLer ikke behandlet via rask bane","IPv4-uitgaande NBL's niet verwerkt via een snel pad","Wychodzące obiekty NBL IPv4 nieprzetworzone na szybkiej ścieżce","NBLs IPv4 de saída não processados por caminho rápido","NBLs de saída IPv4 não processados através do caminho rápido","IPv4 outbound NBLs not processed via fast path","IPv4 outbound NBLs not processed via fast path","IPv4 outbound NBLs not processed via fast path","IPv4 outbound NBLs not processed via fast path","Utgående IPv4-NBL:er som inte har bearbetats via snabb väg","Hızlı yol üzerinden işlenmeyen IPv4 giden NBL'ler"
